"Step","base/lpl_local - Performance/linear_readout_acc","base/lpl_local - Performance/linear_readout_acc__MIN","base/lpl_local - Performance/linear_readout_acc__MAX"
"0","0.1191","0.1191","0.1191"
"9","0.1","0.1","0.1"
"21","0.1888","0.1888","0.1888"
"33","0.2092","0.2092","0.2092"
"45","0.2229","0.2229","0.2229"
"57","0.2638","0.2638","0.2638"
"69","0.2827","0.2827","0.2827"
"81","0.295","0.295","0.295"
"93","0.3026","0.3026","0.3026"
"105","0.3103","0.3103","0.3103"
"117","0.3105","0.3105","0.3105"
"128","0.3165","0.3165","0.3165"
"140","0.3276","0.3276","0.3276"
"152","0.3351","0.3351","0.3351"
"164","0.3413","0.3413","0.3413"
"176","0.3493","0.3493","0.3493"
"188","0.355","0.355","0.355"
"200","0.3604","0.3604","0.3604"
"212","0.3669","0.3669","0.3669"
"224","0.3735","0.3735","0.3735"
"236","0.3858","0.3858","0.3858"
"247","0.3876","0.3876","0.3876"
"259","0.393","0.393","0.393"
"271","0.3962","0.3962","0.3962"
"283","0.3974","0.3974","0.3974"
"295","0.4087","0.4087","0.4087"
"307","0.4063","0.4063","0.4063"
"319","0.4108","0.4108","0.4108"
"331","0.4094","0.4094","0.4094"
"343","0.4127","0.4127","0.4127"
"355","0.4172","0.4172","0.4172"
"366","0.4186","0.4186","0.4186"
"378","0.4209","0.4209","0.4209"
"390","0.4195","0.4195","0.4195"
"402","0.4208","0.4208","0.4208"
"414","0.4258","0.4258","0.4258"
"426","0.4288","0.4288","0.4288"
"438","0.4287","0.4287","0.4287"
"450","0.4317","0.4317","0.4317"
"462","0.4329","0.4329","0.4329"
"474","0.4338","0.4338","0.4338"
"485","0.4377","0.4377","0.4377"
"497","0.4356","0.4356","0.4356"
"509","0.4358","0.4358","0.4358"
"521","0.4424","0.4424","0.4424"
"533","0.4408","0.4408","0.4408"
"545","0.441","0.441","0.441"
"557","0.4421","0.4421","0.4421"
"569","0.4466","0.4466","0.4466"
"581","0.4462","0.4462","0.4462"
"593","0.4523","0.4523","0.4523"
"604","0.4478","0.4478","0.4478"
"616","0.4541","0.4541","0.4541"
"628","0.4563","0.4563","0.4563"
"640","0.4505","0.4505","0.4505"
"652","0.4551","0.4551","0.4551"
"664","0.4552","0.4552","0.4552"
"676","0.4588","0.4588","0.4588"
"688","0.4556","0.4556","0.4556"
"700","0.4611","0.4611","0.4611"
"712","0.4558","0.4558","0.4558"
"723","0.4681","0.4681","0.4681"
"735","0.4605","0.4605","0.4605"
"747","0.4538","0.4538","0.4538"
