"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"0","0","0","0","0.1","0.1","0.1"
"79","3","3","3","0.1045","0.1045","0.1045"
"158","9","9","9","0.184","0.184","0.184"
"237","14","14","14","0.2031","0.2031","0.2031"
"316","20","20","20","0.2168","0.2168","0.2168"
"395","25","25","25","0.2582","0.2582","0.2582"
"474","31","31","31","0.2828","0.2828","0.2828"
"553","37","37","37","0.3009","0.3009","0.3009"
"632","42","42","42","0.3067","0.3067","0.3067"
"711","48","48","48","0.3093","0.3093","0.3093"
"790","53","53","53","0.3264","0.3264","0.3264"
"869","59","59","59","0.3311","0.3311","0.3311"
"948","64","64","64","0.3305","0.3305","0.3305"
"1027","70","70","70","0.3369","0.3369","0.3369"
"1106","76","76","76","0.3461","0.3461","0.3461"
"1185","81","81","81","0.35","0.35","0.35"
"1264","87","87","87","0.3545","0.3545","0.3545"
"1343","92","92","92","0.3642","0.3642","0.3642"
"1422","98","98","98","0.3699","0.3699","0.3699"
"1501","104","104","104","0.3709","0.3709","0.3709"
"1580","109","109","109","0.385","0.385","0.385"
"1659","115","115","115","0.3975","0.3975","0.3975"
"1738","120","120","120","0.3911","0.3911","0.3911"
"1817","126","126","126","0.3942","0.3942","0.3942"
"1896","131","131","131","0.3955","0.3955","0.3955"
"1975","137","137","137","0.4043","0.4043","0.4043"
"2054","143","143","143","0.4046","0.4046","0.4046"
"2133","148","148","148","0.4049","0.4049","0.4049"
"2212","154","154","154","0.4059","0.4059","0.4059"
"2291","159","159","159","0.4107","0.4107","0.4107"
"2370","165","165","165","0.4186","0.4186","0.4186"
"2449","170","170","170","0.414","0.414","0.414"
"2528","176","176","176","0.4161","0.4161","0.4161"
"2607","182","182","182","0.4229","0.4229","0.4229"
"2686","187","187","187","0.4144","0.4144","0.4144"
"2765","193","193","193","0.4238","0.4238","0.4238"
"2844","198","198","198","0.4252","0.4252","0.4252"
"2923","204","204","204","0.4224","0.4224","0.4224"
"3002","210","210","210","0.4302","0.4302","0.4302"
"3081","215","215","215","0.4338","0.4338","0.4338"
"3160","221","221","221","0.4329","0.4329","0.4329"
"3239","226","226","226","0.4417","0.4417","0.4417"
"3318","232","232","232","0.4415","0.4415","0.4415"
"3397","237","237","237","0.4439","0.4439","0.4439"
"3476","243","243","243","0.4435","0.4435","0.4435"
"3555","249","249","249","0.4529","0.4529","0.4529"
"3634","254","254","254","0.4471","0.4471","0.4471"
"3713","260","260","260","0.4538","0.4538","0.4538"
"3792","265","265","265","0.4554","0.4554","0.4554"
"3871","271","271","271","0.4493","0.4493","0.4493"
"3950","277","277","277","0.4587","0.4587","0.4587"
"4029","282","282","282","0.4566","0.4566","0.4566"
"4108","288","288","288","0.4572","0.4572","0.4572"
"4187","293","293","293","0.4585","0.4585","0.4585"
"4266","299","299","299","0.4625","0.4625","0.4625"
"4345","304","304","304","0.4505","0.4505","0.4505"
"4424","310","310","310","0.4573","0.4573","0.4573"
"4503","316","316","316","0.4661","0.4661","0.4661"
"4582","321","321","321","0.462","0.462","0.462"
"4661","327","327","327","0.4659","0.4659","0.4659"
"4740","332","332","332","0.4624","0.4624","0.4624"
"4819","338","338","338","0.4636","0.4636","0.4636"
"4898","343","343","343","0.4688","0.4688","0.4688"
"4977","349","349","349","0.47","0.47","0.47"
"5056","355","355","355","0.475","0.475","0.475"
"5135","360","360","360","0.4784","0.4784","0.4784"
"5214","366","366","366","0.4736","0.4736","0.4736"
"5293","371","371","371","0.4761","0.4761","0.4761"
"5372","377","377","377","0.4771","0.4771","0.4771"
"5451","383","383","383","0.4763","0.4763","0.4763"
"5530","388","388","388","0.4779","0.4779","0.4779"
"5609","394","394","394","0.4762","0.4762","0.4762"
"5688","399","399","399","0.4795","0.4795","0.4795"
"5767","405","405","405","0.4787","0.4787","0.4787"
"5846","410","410","410","0.4773","0.4773","0.4773"
"5925","416","416","416","0.4821","0.4821","0.4821"
"6004","422","422","422","0.4824","0.4824","0.4824"
"6083","427","427","427","0.4816","0.4816","0.4816"
"6162","433","433","433","0.4777","0.4777","0.4777"
"6241","438","438","438","0.4834","0.4834","0.4834"
"6320","444","444","444","0.4744","0.4744","0.4744"
