"Step","base/base_supervised_local - Performance/linear_readout_acc","base/base_supervised_local - Performance/linear_readout_acc__MIN","base/base_supervised_local - Performance/linear_readout_acc__MAX"
"0","0.1","0.1","0.1"
"9","0.1","0.1","0.1"
"21","0.2415","0.2415","0.2415"
"33","0.2498","0.2498","0.2498"
"45","0.3121","0.3121","0.3121"
"57","0.332","0.332","0.332"
"69","0.3525","0.3525","0.3525"
"81","0.3694","0.3694","0.3694"
"93","0.3864","0.3864","0.3864"
"105","0.4018","0.4018","0.4018"
"117","0.4252","0.4252","0.4252"
"128","0.4318","0.4318","0.4318"
"140","0.4525","0.4525","0.4525"
"152","0.4708","0.4708","0.4708"
"164","0.4785","0.4785","0.4785"
"176","0.4893","0.4893","0.4893"
"188","0.5047","0.5047","0.5047"
"200","0.512","0.512","0.512"
"212","0.5279","0.5279","0.5279"
"224","0.5404","0.5404","0.5404"
"236","0.5486","0.5486","0.5486"
"247","0.5594","0.5594","0.5594"
"259","0.5625","0.5625","0.5625"
"271","0.5777","0.5777","0.5777"
"283","0.5838","0.5838","0.5838"
"295","0.58","0.58","0.58"
"307","0.5871","0.5871","0.5871"
"319","0.6025","0.6025","0.6025"
"331","0.6028","0.6028","0.6028"
"343","0.6153","0.6153","0.6153"
"355","0.6278","0.6278","0.6278"
"366","0.6342","0.6342","0.6342"
"378","0.6398","0.6398","0.6398"
"390","0.6431","0.6431","0.6431"
"402","0.649","0.649","0.649"
"414","0.6484","0.6484","0.6484"
"426","0.6629","0.6629","0.6629"
"438","0.6626","0.6626","0.6626"
"450","0.6709","0.6709","0.6709"
"462","0.6623","0.6623","0.6623"
"474","0.6722","0.6722","0.6722"
"485","0.6792","0.6792","0.6792"
"497","0.6798","0.6798","0.6798"
"509","0.6814","0.6814","0.6814"
"521","0.6823","0.6823","0.6823"
"533","0.6947","0.6947","0.6947"
"545","0.6935","0.6935","0.6935"
"557","0.6923","0.6923","0.6923"
"569","0.6905","0.6905","0.6905"
"581","0.6942","0.6942","0.6942"
"593","0.699","0.699","0.699"
"604","0.7033","0.7033","0.7033"
"616","0.7045","0.7045","0.7045"
"628","0.7067","0.7067","0.7067"
"640","0.7095","0.7095","0.7095"
"652","0.7041","0.7041","0.7041"
"664","0.7154","0.7154","0.7154"
"676","0.7094","0.7094","0.7094"
"688","0.7126","0.7126","0.7126"
"700","0.7161","0.7161","0.7161"
"712","0.719","0.719","0.719"
"723","0.7202","0.7202","0.7202"
"735","0.7181","0.7181","0.7181"
"747","0.7227","0.7227","0.7227"
