"Step","ext_detached_cbe/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","ext_detached_cbe/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","ext_detached_cbe/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"0","0.239","0.239","0.239"
"9","0.3562","0.3562","0.3562"
"21","0.3882","0.3882","0.3882"
"33","0.3923","0.3923","0.3923"
"45","0.3977","0.3977","0.3977"
"57","0.4101","0.4101","0.4101"
"69","0.4234","0.4234","0.4234"
"81","0.4203","0.4203","0.4203"
"93","0.4209","0.4209","0.4209"
"105","0.4265","0.4265","0.4265"
"117","0.4329","0.4329","0.4329"
"128","0.4397","0.4397","0.4397"
"140","0.4454","0.4454","0.4454"
"152","0.4399","0.4399","0.4399"
"164","0.4487","0.4487","0.4487"
"176","0.453","0.453","0.453"
"188","0.4456","0.4456","0.4456"
"200","0.4494","0.4494","0.4494"
"212","0.4505","0.4505","0.4505"
"224","0.4579","0.4579","0.4579"
"236","0.4543","0.4543","0.4543"
"247","0.4572","0.4572","0.4572"
"259","0.4597","0.4597","0.4597"
"271","0.4572","0.4572","0.4572"
"283","0.4673","0.4673","0.4673"
"295","0.4663","0.4663","0.4663"
"307","0.4594","0.4594","0.4594"
"319","0.4566","0.4566","0.4566"
"331","0.4667","0.4667","0.4667"
"343","0.4701","0.4701","0.4701"
"355","0.4646","0.4646","0.4646"
"366","0.466","0.466","0.466"
"378","0.4683","0.4683","0.4683"
"390","0.4679","0.4679","0.4679"
"402","0.472","0.472","0.472"
"414","0.4702","0.4702","0.4702"
"426","0.4742","0.4742","0.4742"
"438","0.4758","0.4758","0.4758"
"450","0.4793","0.4793","0.4793"
"462","0.4718","0.4718","0.4718"
"474","0.4773","0.4773","0.4773"
"485","0.4816","0.4816","0.4816"
"497","0.4811","0.4811","0.4811"
"509","0.4814","0.4814","0.4814"
"521","0.4817","0.4817","0.4817"
"533","0.4794","0.4794","0.4794"
"545","0.4817","0.4817","0.4817"
"557","0.4896","0.4896","0.4896"
"569","0.4847","0.4847","0.4847"
"581","0.4888","0.4888","0.4888"
"593","0.4909","0.4909","0.4909"
"604","0.4889","0.4889","0.4889"
"616","0.4872","0.4872","0.4872"
"628","0.4903","0.4903","0.4903"
"640","0.4948","0.4948","0.4948"
"652","0.4996","0.4996","0.4996"
"664","0.494","0.494","0.494"
"676","0.4921","0.4921","0.4921"
"688","0.498","0.498","0.498"
"700","0.4982","0.4982","0.4982"
"712","0.4918","0.4918","0.4918"
"723","0.4941","0.4941","0.4941"
"735","0.5027","0.5027","0.5027"
"747","0.5052","0.5052","0.5052"
