"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"0","0","0","0","0.2278","0.2278","0.2278"
"79","3","3","3","0.3609","0.3609","0.3609"
"158","9","9","9","0.3825","0.3825","0.3825"
"237","14","14","14","0.3897","0.3897","0.3897"
"316","20","20","20","0.3941","0.3941","0.3941"
"395","25","25","25","0.3974","0.3974","0.3974"
"474","31","31","31","0.402","0.402","0.402"
"553","37","37","37","0.4175","0.4175","0.4175"
"632","42","42","42","0.4257","0.4257","0.4257"
"711","48","48","48","0.4254","0.4254","0.4254"
"790","53","53","53","0.4224","0.4224","0.4224"
"869","59","59","59","0.4328","0.4328","0.4328"
"948","64","64","64","0.4335","0.4335","0.4335"
"1027","70","70","70","0.4343","0.4343","0.4343"
"1106","76","76","76","0.4389","0.4389","0.4389"
"1185","81","81","81","0.4449","0.4449","0.4449"
"1264","87","87","87","0.447","0.447","0.447"
"1343","92","92","92","0.4446","0.4446","0.4446"
"1422","98","98","98","0.4525","0.4525","0.4525"
"1501","104","104","104","0.4538","0.4538","0.4538"
"1580","109","109","109","0.4545","0.4545","0.4545"
"1659","115","115","115","0.4568","0.4568","0.4568"
"1738","120","120","120","0.4504","0.4504","0.4504"
"1817","126","126","126","0.4583","0.4583","0.4583"
"1896","131","131","131","0.4609","0.4609","0.4609"
"1975","137","137","137","0.4561","0.4561","0.4561"
"2054","143","143","143","0.4558","0.4558","0.4558"
"2133","148","148","148","0.4573","0.4573","0.4573"
"2212","154","154","154","0.4586","0.4586","0.4586"
"2291","159","159","159","0.4589","0.4589","0.4589"
"2370","165","165","165","0.4645","0.4645","0.4645"
"2449","170","170","170","0.4648","0.4648","0.4648"
"2528","176","176","176","0.4689","0.4689","0.4689"
"2607","182","182","182","0.4672","0.4672","0.4672"
"2686","187","187","187","0.4661","0.4661","0.4661"
"2765","193","193","193","0.4693","0.4693","0.4693"
"2844","198","198","198","0.4712","0.4712","0.4712"
"2923","204","204","204","0.4704","0.4704","0.4704"
"3002","210","210","210","0.4716","0.4716","0.4716"
"3081","215","215","215","0.4656","0.4656","0.4656"
"3160","221","221","221","0.4757","0.4757","0.4757"
"3239","226","226","226","0.4716","0.4716","0.4716"
"3318","232","232","232","0.4764","0.4764","0.4764"
"3397","237","237","237","0.4811","0.4811","0.4811"
"3476","243","243","243","0.4784","0.4784","0.4784"
"3555","249","249","249","0.4806","0.4806","0.4806"
"3634","254","254","254","0.4782","0.4782","0.4782"
"3713","260","260","260","0.4807","0.4807","0.4807"
"3792","265","265","265","0.4863","0.4863","0.4863"
"3871","271","271","271","0.4825","0.4825","0.4825"
"3950","277","277","277","0.4864","0.4864","0.4864"
"4029","282","282","282","0.4831","0.4831","0.4831"
"4108","288","288","288","0.4845","0.4845","0.4845"
"4187","293","293","293","0.4875","0.4875","0.4875"
"4266","299","299","299","0.4897","0.4897","0.4897"
"4345","304","304","304","0.4841","0.4841","0.4841"
"4424","310","310","310","0.4912","0.4912","0.4912"
"4503","316","316","316","0.4831","0.4831","0.4831"
"4582","321","321","321","0.491","0.491","0.491"
"4661","327","327","327","0.4864","0.4864","0.4864"
"4740","332","332","332","0.4887","0.4887","0.4887"
"4819","338","338","338","0.4916","0.4916","0.4916"
"4898","343","343","343","0.4948","0.4948","0.4948"
"4977","349","349","349","0.4862","0.4862","0.4862"
"5056","355","355","355","0.4922","0.4922","0.4922"
"5135","360","360","360","0.4952","0.4952","0.4952"
"5214","366","366","366","0.5024","0.5024","0.5024"
"5293","371","371","371","0.4959","0.4959","0.4959"
"5372","377","377","377","0.4911","0.4911","0.4911"
"5451","383","383","383","0.4927","0.4927","0.4927"
"5530","388","388","388","0.502","0.502","0.502"
"5609","394","394","394","0.4964","0.4964","0.4964"
"5688","399","399","399","0.5023","0.5023","0.5023"
"5767","405","405","405","0.4849","0.4849","0.4849"
"5846","410","410","410","0.4968","0.4968","0.4968"
"5925","416","416","416","0.4944","0.4944","0.4944"
"6004","422","422","422","0.5084","0.5084","0.5084"
"6083","427","427","427","0.4813","0.4813","0.4813"
"6162","433","433","433","0.4924","0.4924","0.4924"
"6241","438","438","438","0.4983","0.4983","0.4983"
"6320","444","444","444","0.493","0.493","0.493"
"6399","449","449","449","0.5012","0.5012","0.5012"
"6478","455","455","455","0.4998","0.4998","0.4998"
"6557","461","461","461","0.5007","0.5007","0.5007"
"6636","466","466","466","0.5018","0.5018","0.5018"
"6715","472","472","472","0.5049","0.5049","0.5049"
"6794","477","477","477","0.4938","0.4938","0.4938"
"6873","483","483","483","0.5071","0.5071","0.5071"
